正在爬取第1页
关于做好2023年度江苏省社科基金重大招标项目选题征集工作的通知,2023-08-02,科研信息,社会科学处（校社科联、自贸区研究院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0802/c791a226913/page.htm,,
特邀美国加州大学（河滨分校）张旗教授来校作学术报告,2023-07-26,学术报告,数学与统计学院（公共数学教学部）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0726/c791a226889/page.htm,,
关于征求国家重点研发计划“政府间国际科技创新合作”等2个重点专项2024年度有关批次项目申报指南意见的通知,2023-07-26,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0726/c791a226886/page.htm,,
转发科技部办公厅关于开展2023年全国优秀科普作品推荐工作的通知,2023-07-26,其他,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0726/c791a226884/page.htm,,
校发 [2023] 144号 关于潘成胜担任《南京信息工程大学学报》主编的通知,2023-07-26,其他,期刊中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0726/c791a226878/page.htm,,
特邀俄克拉马大学薛明教授作学术报告——大气•风云讲坛 （2023年第21期）,2023-07-25,学术报告,气象与环境联合研究中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0725/c791a226848/page.htm,,
2023年度省级生态环境科研项目（政策引导类）公开招标采购公告,2023-07-25,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0725/c791a226846/page.htm,,
关于组织校内专家教授走访盐都企业的通知,2023-07-25,其他,科技产业处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0725/c791a226841/page.htm,,
关于开展2022级遥感科学与技术（航天宏图实验班）选拔工作的通知,2023-07-25,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0725/c791a226831/page.htm,,
校2023年“三育人”先进集体、先进个人评选结果公示,2023-07-24,其他,工会,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226826/page.htm,,
关于征集2024年度交叉科学部重大项目立项领域建议的通知,2023-07-24,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226822/page.htm,,
关于组织申报国家自然科学基金指南引导类原创探索计划项目 ——“高分子材料变革性合成与结构创新”项目的通知,2023-07-24,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226821/page.htm,,
